sleep_hours,stress_level,screen_time,productivity_score,caffeine_intake,iso_anomaly,lof_anomaly,svm_anomaly,anomaly_votes,final_anomaly,anomaly_type
6.0,1.0,11.1,100.0,4.0,0,0,0,0,0,Normal
5.3,7.0,1.1,60.0,3.0,0,0,0,0,0,Normal
7.0,2.0,8.5,50.0,2.0,0,0,0,0,0,Normal
6.8,10.0,7.2,30.0,4.0,0,0,0,0,0,Normal
4.3,10.0,4.5,100.0,0.0,1,1,1,3,1,Health-Risk
4.6,5.0,6.5,10.0,6.0,0,0,0,0,0,Normal
4.4,7.0,6.5,20.0,1.0,0,0,0,0,0,Normal
7.1,3.0,2.6,100.0,3.0,0,0,0,0,0,Normal
7.8,5.0,7.3,60.0,1.0,0,0,0,0,0,Normal
6.6,10.0,2.0,40.0,0.0,0,0,0,0,0,Normal
7.0,8.0,10.9,50.0,4.0,0,0,0,0,0,Normal
5.3,8.0,9.6,70.0,5.0,0,0,0,0,0,Normal
8.8,8.0,10.3,70.0,0.0,0,0,0,0,0,Normal
6.3,2.0,2.5,80.0,6.0,0,0,0,0,0,Normal
5.3,4.0,4.9,90.0,3.0,0,0,0,0,0,Normal
7.8,3.0,10.3,30.0,0.0,0,0,0,0,0,Normal
6.1,10.0,4.8,80.0,3.0,0,0,0,0,0,Normal
7.9,2.0,5.6,30.0,0.0,0,0,0,0,0,Normal
7.6,1.0,10.3,70.0,3.0,0,0,0,0,0,Normal
5.2,7.0,8.5,30.0,4.0,0,0,0,0,0,Normal
7.7,5.0,2.2,90.0,1.0,0,0,0,0,0,Normal
4.6,1.0,6.2,80.0,1.0,0,0,0,0,0,Normal
7.8,5.0,6.0,80.0,0.0,0,0,0,0,0,Normal
6.7,3.0,2.9,70.0,6.0,0,0,0,0,0,Normal
5.3,6.0,10.1,10.0,6.0,0,0,0,0,0,Normal
8.0,1.0,3.1,10.0,2.0,0,0,0,0,0,Normal
8.0,8.0,8.6,20.0,0.0,0,0,0,0,0,Normal
4.8,1.0,4.8,60.0,2.0,0,0,0,0,0,Normal
5.5,1.0,10.7,10.0,6.0,1,0,1,2,1,Behavioral Anomaly
4.6,2.0,6.7,30.0,1.0,0,0,0,0,0,Normal
6.5,9.0,4.3,60.0,2.0,0,0,0,0,0,Normal
8.3,8.0,10.0,20.0,1.0,0,0,0,0,0,Normal
7.0,6.0,3.4,40.0,2.0,0,0,0,0,0,Normal
6.1,9.0,5.0,80.0,1.0,0,0,0,0,0,Normal
8.8,8.0,2.6,80.0,1.0,0,0,0,0,0,Normal
7.3,1.0,3.1,80.0,2.0,0,0,0,0,0,Normal
4.7,1.0,10.6,100.0,2.0,1,0,0,1,0,Normal
8.5,8.0,7.3,80.0,1.0,0,0,0,0,0,Normal
7.9,9.0,4.3,10.0,5.0,0,0,0,0,0,Normal
5.3,3.0,5.3,60.0,0.0,0,0,0,0,0,Normal
8.1,3.0,3.1,50.0,4.0,0,0,0,0,0,Normal
4.8,3.0,4.9,40.0,5.0,0,0,0,0,0,Normal
4.8,5.0,2.7,70.0,3.0,0,0,0,0,0,Normal
4.8,4.0,3.4,100.0,4.0,0,0,0,0,0,Normal
5.5,8.0,11.7,70.0,2.0,0,0,0,0,0,Normal
7.6,9.0,1.6,10.0,1.0,0,0,0,0,0,Normal
4.6,7.0,2.6,40.0,3.0,0,0,0,0,0,Normal
6.0,6.0,7.2,60.0,2.0,0,0,0,0,0,Normal
7.3,3.0,7.6,60.0,4.0,0,0,0,0,0,Normal
7.6,2.0,10.1,20.0,2.0,0,0,0,0,0,Normal
7.7,3.0,2.9,30.0,4.0,0,0,0,0,0,Normal
9.0,4.0,3.6,50.0,0.0,0,0,0,0,0,Normal
8.9,4.0,11.0,100.0,2.0,1,1,0,2,1,Behavioral Anomaly
5.5,7.0,4.4,60.0,1.0,0,0,0,0,0,Normal
4.5,8.0,1.1,50.0,0.0,0,0,0,0,0,Normal
4.8,6.0,10.1,80.0,0.0,0,0,0,0,0,Normal
7.2,2.0,9.3,80.0,3.0,0,0,0,0,0,Normal
7.6,10.0,10.9,90.0,3.0,0,0,0,0,0,Normal
6.6,3.0,9.5,30.0,5.0,0,0,0,0,0,Normal
6.6,10.0,6.9,80.0,3.0,0,0,0,0,0,Normal
6.8,2.0,10.4,50.0,6.0,0,0,0,0,0,Normal
4.2,8.0,2.9,80.0,6.0,0,0,0,0,0,Normal
4.8,7.0,1.8,20.0,3.0,0,0,0,0,0,Normal
7.2,3.0,3.3,50.0,5.0,0,0,0,0,0,Normal
5.2,4.0,10.6,10.0,1.0,0,0,0,0,0,Normal
7.9,10.0,2.0,100.0,6.0,1,0,1,2,1,Behavioral Anomaly
7.5,2.0,11.9,20.0,0.0,0,0,1,1,0,Normal
7.8,7.0,8.4,40.0,5.0,0,0,0,0,0,Normal
8.1,4.0,5.3,80.0,3.0,0,0,0,0,0,Normal
7.2,9.0,8.5,50.0,3.0,0,0,0,0,0,Normal
5.2,5.0,9.0,100.0,4.0,0,0,0,0,0,Normal
4.7,10.0,5.6,80.0,6.0,0,0,0,0,0,Normal
4.3,6.0,5.6,50.0,6.0,0,0,0,0,0,Normal
6.9,5.0,5.4,80.0,4.0,0,0,0,0,0,Normal
6.7,5.0,10.0,30.0,6.0,0,0,0,0,0,Normal
7.0,1.0,10.7,60.0,5.0,0,0,0,0,0,Normal
4.0,2.0,3.2,10.0,4.0,1,0,0,1,0,Normal
8.4,8.0,9.0,100.0,2.0,0,0,0,0,0,Normal
6.1,3.0,6.2,30.0,1.0,0,0,0,0,0,Normal
6.0,2.0,8.6,70.0,1.0,0,0,0,0,0,Normal
8.3,3.0,2.4,60.0,5.0,0,0,0,0,0,Normal
8.1,9.0,7.9,50.0,6.0,0,0,0,0,0,Normal
7.9,1.0,8.5,30.0,2.0,0,0,0,0,0,Normal
4.6,9.0,8.8,40.0,5.0,0,0,0,0,0,Normal
6.4,3.0,6.4,70.0,5.0,0,0,0,0,0,Normal
4.3,10.0,10.8,20.0,5.0,1,0,1,2,1,Health-Risk
7.3,1.0,7.4,90.0,1.0,0,0,0,0,0,Normal
5.1,1.0,7.8,30.0,6.0,0,0,0,0,0,Normal
8.5,9.0,1.4,20.0,5.0,0,0,0,0,0,Normal
8.0,8.0,11.4,30.0,0.0,0,0,0,0,0,Normal
5.9,3.0,6.1,10.0,0.0,0,0,0,0,0,Normal
8.3,9.0,11.5,50.0,1.0,0,0,0,0,0,Normal
4.2,3.0,7.4,30.0,5.0,0,0,0,0,0,Normal
7.0,8.0,2.0,80.0,6.0,0,0,0,0,0,Normal
7.2,8.0,5.6,30.0,4.0,0,0,0,0,0,Normal
7.5,3.0,10.6,40.0,0.0,0,0,0,0,0,Normal
6.5,10.0,8.8,70.0,6.0,0,0,0,0,0,Normal
4.7,10.0,8.3,50.0,3.0,0,0,0,0,0,Normal
6.3,9.0,4.2,60.0,5.0,0,0,0,0,0,Normal
6.1,9.0,1.5,20.0,0.0,0,0,0,0,0,Normal
5.2,6.0,10.9,70.0,2.0,0,0,0,0,0,Normal
7.0,10.0,11.5,50.0,2.0,0,0,0,0,0,Normal
5.4,1.0,7.9,10.0,3.0,0,0,0,0,0,Normal
8.4,10.0,6.0,40.0,4.0,0,0,0,0,0,Normal
4.3,10.0,6.2,60.0,1.0,0,0,0,0,0,Normal
7.6,10.0,4.4,30.0,1.0,0,0,0,0,0,Normal
4.6,8.0,5.0,30.0,2.0,0,0,0,0,0,Normal
5.2,7.0,7.8,50.0,0.0,0,0,0,0,0,Normal
8.5,10.0,9.7,20.0,4.0,0,0,0,0,0,Normal
7.2,8.0,9.0,70.0,0.0,0,0,0,0,0,Normal
4.3,10.0,4.9,30.0,5.0,0,0,0,0,0,Normal
7.7,6.0,6.2,60.0,3.0,0,0,0,0,0,Normal
8.1,5.0,2.5,70.0,6.0,0,0,0,0,0,Normal
8.4,6.0,11.5,60.0,2.0,0,0,0,0,0,Normal
9.0,7.0,1.1,30.0,5.0,0,1,0,1,0,Normal
6.9,7.0,4.4,30.0,6.0,0,0,0,0,0,Normal
4.4,1.0,5.0,40.0,3.0,0,0,0,0,0,Normal
7.8,9.0,6.9,60.0,4.0,0,0,0,0,0,Normal
7.3,1.0,1.5,80.0,1.0,0,0,0,0,0,Normal
7.5,7.0,7.6,50.0,5.0,0,0,0,0,0,Normal
6.6,1.0,7.1,50.0,0.0,0,0,0,0,0,Normal
7.3,3.0,9.4,10.0,0.0,0,0,0,0,0,Normal
5.3,2.0,6.3,70.0,4.0,0,0,0,0,0,Normal
4.2,7.0,4.3,40.0,6.0,0,0,0,0,0,Normal
8.0,10.0,11.3,30.0,0.0,0,0,1,1,0,Normal
6.8,1.0,2.6,70.0,0.0,0,0,0,0,0,Normal
8.4,4.0,11.1,70.0,2.0,0,0,0,0,0,Normal
7.9,3.0,10.5,20.0,5.0,0,0,0,0,0,Normal
6.1,9.0,6.4,10.0,3.0,0,0,0,0,0,Normal
6.4,8.0,2.4,60.0,6.0,0,0,0,0,0,Normal
8.7,8.0,10.9,40.0,1.0,0,0,0,0,0,Normal
7.6,10.0,6.4,90.0,3.0,0,0,0,0,0,Normal
4.2,9.0,5.3,80.0,1.0,0,0,0,0,0,Normal
4.8,6.0,1.7,30.0,0.0,0,0,0,0,0,Normal
4.3,4.0,5.4,50.0,2.0,0,0,0,0,0,Normal
5.3,2.0,5.2,100.0,3.0,0,0,0,0,0,Normal
5.5,8.0,3.7,30.0,2.0,0,0,0,0,0,Normal
4.8,8.0,11.5,20.0,4.0,0,0,0,0,0,Normal
7.9,7.0,5.6,90.0,4.0,0,0,0,0,0,Normal
8.9,4.0,4.3,90.0,5.0,0,0,0,0,0,Normal
4.8,8.0,3.3,60.0,2.0,0,0,0,0,0,Normal
5.7,1.0,5.1,80.0,2.0,0,0,0,0,0,Normal
6.7,4.0,5.2,60.0,5.0,0,0,0,0,0,Normal
5.6,5.0,10.8,90.0,2.0,0,0,0,0,0,Normal
5.1,5.0,3.8,60.0,3.0,0,0,0,0,0,Normal
4.1,8.0,5.4,70.0,6.0,0,0,0,0,0,Normal
5.4,6.0,10.2,80.0,4.0,0,0,0,0,0,Normal
5.1,9.0,5.0,20.0,2.0,0,0,0,0,0,Normal
6.8,6.0,5.3,70.0,5.0,0,0,0,0,0,Normal
6.1,5.0,10.9,20.0,1.0,0,0,0,0,0,Normal
5.4,1.0,4.3,80.0,1.0,0,0,0,0,0,Normal
6.4,8.0,6.8,10.0,6.0,0,0,0,0,0,Normal
4.3,7.0,11.5,80.0,5.0,0,0,0,0,0,Normal
6.3,9.0,3.2,50.0,0.0,0,0,0,0,0,Normal
6.0,1.0,5.4,90.0,2.0,0,0,0,0,0,Normal
5.9,2.0,5.1,90.0,4.0,0,0,0,0,0,Normal
7.4,4.0,1.3,10.0,3.0,0,1,0,1,0,Normal
5.4,6.0,10.9,40.0,4.0,0,0,0,0,0,Normal
5.4,3.0,3.7,60.0,0.0,0,0,0,0,0,Normal
7.2,9.0,9.8,50.0,5.0,0,0,0,0,0,Normal
4.4,5.0,2.3,20.0,1.0,0,0,0,0,0,Normal
4.8,6.0,3.2,100.0,2.0,0,0,0,0,0,Normal
5.4,6.0,5.6,10.0,2.0,0,0,0,0,0,Normal
7.4,7.0,1.4,80.0,2.0,0,0,0,0,0,Normal
7.9,5.0,5.2,10.0,5.0,0,0,0,0,0,Normal
5.4,3.0,2.7,70.0,2.0,0,0,0,0,0,Normal
7.3,6.0,6.5,20.0,6.0,0,0,0,0,0,Normal
5.6,2.0,4.9,30.0,1.0,0,0,0,0,0,Normal
7.3,8.0,2.5,60.0,1.0,0,0,0,0,0,Normal
6.0,6.0,5.1,30.0,6.0,0,0,0,0,0,Normal
6.8,4.0,4.1,20.0,5.0,0,0,0,0,0,Normal
6.1,10.0,2.6,60.0,4.0,0,0,0,0,0,Normal
7.4,8.0,1.3,60.0,4.0,0,0,0,0,0,Normal
5.4,4.0,3.4,50.0,5.0,0,0,0,0,0,Normal
5.7,1.0,1.7,90.0,0.0,0,1,1,2,1,Behavioral Anomaly
8.2,9.0,12.0,50.0,2.0,0,0,0,0,0,Normal
5.7,3.0,3.9,60.0,3.0,0,0,0,0,0,Normal
8.2,8.0,2.9,20.0,2.0,0,0,0,0,0,Normal
8.0,8.0,2.0,40.0,2.0,0,0,0,0,0,Normal
5.8,6.0,7.9,30.0,2.0,0,0,0,0,0,Normal
7.7,10.0,3.8,90.0,3.0,0,0,0,0,0,Normal
5.3,8.0,1.4,40.0,2.0,0,1,0,1,0,Normal
6.1,3.0,5.7,90.0,2.0,0,0,0,0,0,Normal
5.7,8.0,11.1,100.0,4.0,0,0,0,0,0,Normal
7.5,8.0,11.3,80.0,0.0,0,0,0,0,0,Normal
4.1,10.0,2.2,70.0,6.0,1,0,1,2,1,Health-Risk
7.6,3.0,3.6,10.0,2.0,0,0,0,0,0,Normal
7.0,7.0,7.2,50.0,0.0,0,0,0,0,0,Normal
